cost,component,location,carrier,0
capital,Link,AT0 15,home battery charger,3.47214
capital,Link,AT0 15,home battery discharger,0.0
capital,Link,AT0 15,methanolisation,40.76357
capital,Link,AT0 15,rural air heat pump,1.86347
capital,Link,AT0 15,rural ground heat pump,1.84924
capital,Link,AT0 15,rural resistive heater,2377616.6281
capital,Link,AT0 15,rural water tanks charger,0.0
capital,Link,AT0 15,rural water tanks discharger,0.0
capital,Link,AT0 15,urban decentral air heat pump,1.85612
capital,Link,AT0 15,urban decentral resistive heater,1524744.01143
capital,Link,AT0 15,urban decentral water tanks charger,0.0
capital,Link,AT0 15,urban decentral water tanks discharger,0.0
capital,Link,AT0 16,BEV charger,0.0
capital,Link,AT0 16,DAC,2.40716
capital,Link,AT0 16,Fischer-Tropsch,1.81218
capital,Link,AT0 16,H2 Electrolysis,1013.22487
capital,Link,AT0 16,H2 Fuel Cell,0.89045
capital,Link,AT0 16,H2 pipeline,6.54748
capital,Link,AT0 16,Sabatier,0.99474
capital,Link,AT0 16,V2G,0.0
capital,Link,AT0 16,battery charger,3.42054
capital,Link,AT0 16,battery discharger,0.0
capital,Link,AT0 16,electricity distribution grid,4.34954
capital,Link,AT0 16,home battery charger,3.48901
capital,Link,AT0 16,home battery discharger,0.0
capital,Link,AT0 16,methanolisation,258.83124
capital,Link,AT0 16,rural air heat pump,1.86397
capital,Link,AT0 16,rural ground heat pump,1.84975
capital,Link,AT0 16,rural resistive heater,11051340.01538
capital,Link,AT0 16,rural water tanks charger,0.0
capital,Link,AT0 16,rural water tanks discharger,0.0
capital,Link,AT0 16,urban decentral air heat pump,1.85863
capital,Link,AT0 16,urban decentral resistive heater,132576.67656
capital,Link,AT0 16,urban decentral water tanks charger,0.0
capital,Link,AT0 16,urban decentral water tanks discharger,0.0
capital,Link,AT0 17,BEV charger,0.0
capital,Link,AT0 17,DAC,2.39526
capital,Link,AT0 17,Fischer-Tropsch,1.80236
capital,Link,AT0 17,H2 Electrolysis,69.65897
capital,Link,AT0 17,H2 Fuel Cell,0.89741
capital,Link,AT0 17,H2 pipeline,3.09404
capital,Link,AT0 17,Sabatier,0.99307
capital,Link,AT0 17,V2G,0.0
capital,Link,AT0 17,battery charger,3.3971
capital,Link,AT0 17,battery discharger,0.0
capital,Link,AT0 17,electricity distribution grid,4.33778
capital,Link,AT0 17,home battery charger,3.47284
capital,Link,AT0 17,home battery discharger,0.0
capital,Link,AT0 17,methanolisation,31.55574
capital,Link,AT0 17,rural air heat pump,1.86623
capital,Link,AT0 17,rural ground heat pump,1.85149
capital,Link,AT0 17,rural resistive heater,10654371.7667
capital,Link,AT0 17,rural water tanks charger,0.0
capital,Link,AT0 17,rural water tanks discharger,0.0
capital,Link,AT0 17,urban decentral air heat pump,1.85561
capital,Link,AT0 17,urban decentral resistive heater,34248.12099
capital,Link,AT0 17,urban decentral water tanks charger,0.0
capital,Link,AT0 17,urban decentral water tanks discharger,0.0
capital,Link,AT0 18,BEV charger,0.0
capital,Link,AT0 18,DAC,4.83537
capital,Link,AT0 18,Fischer-Tropsch,1.65334
capital,Link,AT0 18,H2 Electrolysis,646.03168
