cost,component,location,carrier,0
capital,Link,AT0 17,rural air heat pump,1.50842
capital,Link,AT0 17,rural ground heat pump,1.50193
capital,Link,AT0 17,rural resistive heater,4975818.3308
capital,Link,AT0 17,rural water tanks charger,0.0
capital,Link,AT0 17,rural water tanks discharger,0.0
capital,Link,AT0 17,urban decentral air heat pump,1.51046
capital,Link,AT0 17,urban decentral resistive heater,5712801.70969
capital,Link,AT0 17,urban decentral water tanks charger,0.0
capital,Link,AT0 17,urban decentral water tanks discharger,0.0
capital,Link,AT0 18,BEV charger,0.0
capital,Link,AT0 18,DAC,4.40072
capital,Link,AT0 18,Fischer-Tropsch,3107.23637
capital,Link,AT0 18,H2 Electrolysis,15470658.56004
